City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
376,santa rosa,14.3122,121.1114,30.05000000000001,78,89,6.33,PH,1706755438
377,champerico,14.3,-91.9167,26.810000000000002,76,72,1.89,GT,1706755438
378,cortland,42.6001,-76.083,1.670000000000016,89,100,2.57,US,1706755439
379,ciudad lazaro cardenas,17.9583,-102.2,25.970000000000027,77,100,0.74,MX,1706755439
380,tolanaro,-25.0319,46.9987,23.78000000000003,87,100,6.0,MG,1706755439
381,pankrushikha,53.8319,80.3406,-7.8700000000000045,94,97,4.58,RU,1706755218
382,el porvenir,13.7617,-87.3458,20.629999999999995,69,1,3.46,HN,1706755440
383,papao,-17.75,-149.55,27.82000000000005,81,19,5.3,PF,1706755440
384,doaba,33.4244,70.7364,6.32000000000005,61,1,1.69,PK,1706755440
385,sisimiut,66.9395,-53.6735,-22.659999999999968,98,98,5.88,GL,1706755440
386,bengkulu,-3.8004,102.2655,26.83000000000004,80,100,0.75,ID,1706755440
387,taltal,-25.4,-70.4833,20.04000000000002,87,24,0.62,CL,1706755220
388,ceylanpinar,36.8472,40.05,3.180000000000007,65,98,3.29,TR,1706755441
389,raduzhny,62.0961,77.475,-13.339999999999975,93,100,4.56,RU,1706755441
390,reguiba,33.5639,6.7033,7.03000000000003,76,0,2.57,DZ,1706755441
391,porto seguro,-16.4497,-39.0647,25.29000000000002,88,75,2.57,BR,1706755442
392,martapura,-3.4167,114.85,28.05000000000001,83,20,1.54,ID,1706755442
393,dubbo,-32.25,148.6167,33.07000000000005,40,40,3.6,AU,1706755442
394,tucuma,-0.1833,-50.05,24.78000000000003,93,98,2.58,BR,1706755442
395,iquique,-20.2208,-70.1431,23.02000000000004,78,39,1.13,CL,1706755443
396,cizre,37.3272,42.1903,3.5600000000000023,93,40,3.6,TR,1706755443
397,novyy urgal,51.0736,132.5642,-25.909999999999968,83,50,0.46,RU,1706755443
398,prado,-17.3411,-39.2208,24.450000000000045,92,94,2.96,BR,1706755301
399,lerwick,60.1545,-1.1494,5.0,70,63,17.97,GB,1706755443
400,horta,38.5333,-28.6333,15.57000000000005,84,53,7.15,PT,1706755444
401,saudarkrokur,65.7461,-19.6394,-7.759999999999991,87,92,6.75,IS,1706755444
402,'ain el melh,34.8415,4.1638,6.890000000000043,69,70,1.25,DZ,1706755444
403,kargil,34.5667,76.1,-8.20999999999998,88,100,1.73,IN,1706755444
404,walvis bay,-22.9575,14.5053,18.53000000000003,94,93,0.0,NA,1706755340
405,glace bay,46.1969,-59.957,-6.899999999999977,83,6,5.92,CA,1706755445
406,ts'khinvali,42.2276,43.9686,-4.1299999999999955,76,35,2.05,GE,1706755445
407,magadan,59.5667,150.8,-18.039999999999964,78,54,3.16,RU,1706755445
408,pasuquin,18.3328,120.6177,28.970000000000027,58,40,1.54,PH,1706755446
409,ceiba,18.4463,-66.3507,23.120000000000005,98,58,0.89,PR,1706755446
410,yarmouth,41.7057,-70.2286,1.2600000000000477,83,100,2.06,US,1706755446
411,mar del plata,-38.0023,-57.5575,26.010000000000048,50,0,3.09,AR,1706755204
412,puerto armuelles,8.2833,-82.8667,28.99000000000001,59,42,0.45,PA,1706755432
413,vilassar de mar,41.5096,2.3937,12.660000000000025,75,9,1.79,ES,1706755447
414,port isabel,26.0734,-97.2086,17.25,82,0,4.12,US,1706755425
415,newman,37.3138,-121.0208,15.990000000000009,76,100,5.36,US,1706755308
416,tabou,4.423,-7.3528,26.980000000000018,83,33,2.84,CI,1706755448
417,kochi,9.9399,76.2602,28.340000000000032,77,76,3.35,IN,1706755304
418,andapa,-14.65,49.65,20.08000000000004,97,32,1.48,MG,1706755448
419,vennesla,58.2694,7.9741,4.0400000000000205,78,75,8.23,NO,1706755449
420,beitbridge,-22.2167,30.0,21.0,76,36,7.63,ZW,1706755449
421,sinabang,2.4803,96.3801,28.870000000000005,72,92,0.3,ID,1706755449
422,archangelos,36.2149,28.1149,11.840000000000032,63,24,2.22,GR,1706755450
423,ca mau,9.1769,105.15,30.33000000000004,55,99,4.06,VN,1706755450
424,hadibu,12.65,54.0333,23.600000000000023,82,46,2.78,YE,1706755450
425,aasiaat,68.7098,-52.8699,-25.869999999999976,98,87,5.11,GL,1706755450
426,necochea,-38.5473,-58.7368,26.350000000000023,38,59,7.49,AR,1706755451
427,kruisfontein,-34.0033,24.7314,19.260000000000048,88,70,3.95,ZA,1706755451
428,levuka,50.1834,-105.4011,0.9000000000000341,73,40,3.45,CA,1706755451
429,qinhuangdao,39.9317,119.5883,-5.810000000000002,21,100,3.77,CN,1706755451
430,la ronge,55.1001,-105.2842,2.140000000000043,80,20,3.6,CA,1706755452
431,seymour,38.9592,-85.8903,3.8500000000000227,86,3,2.49,US,1706755452
432,sucre,-19.0333,-65.2627,15.050000000000011,70,98,1.44,BO,1706754871
433,codrington,-38.2667,141.9667,22.99000000000001,49,0,8.56,AU,1706755452
434,shubarshi,48.5872,57.1869,-10.45999999999998,96,98,3.88,KZ,1706755453
435,salima,-13.7804,34.4587,21.07000000000005,76,93,2.37,MW,1706755453
436,esperanza,19.5847,-70.9849,24.32000000000005,90,95,0.53,DO,1706755453
437,colchani,-20.3,-66.9333,13.050000000000011,58,100,3.22,BO,1706755453
438,nakamura,32.9833,132.9333,14.650000000000034,76,100,1.39,JP,1706755454
439,skovorodino,53.9833,123.9167,-18.159999999999968,71,7,2.42,RU,1706755454
440,vila do maio,15.1333,-23.2167,22.439999999999998,65,47,6.16,CV,1706755454
441,al kharijah,25.4514,30.5464,6.060000000000002,61,0,2.11,EG,1706755454
442,vilyuchinsk,52.9306,158.4028,-12.819999999999993,60,28,1.12,RU,1706755455
443,armacao de buzios,-22.7469,-41.8817,23.03000000000003,91,100,1.1,BR,1706755222
444,khash,28.2211,61.2158,5.010000000000048,52,0,1.43,IR,1706755455
445,bagneres-de-bigorre,43.0667,0.15,3.890000000000043,87,0,3.09,FR,1706755455
446,bikenibeu village,1.3673,173.1241,30.980000000000018,84,75,3.6,KI,1706755456
447,savanna-la-mar,18.219,-78.1332,23.970000000000027,74,31,3.68,JM,1706755456
448,bam,29.106,58.357,6.580000000000041,43,0,0.47,IR,1706755456
449,aykhal,66.0,111.5,-25.00999999999999,100,96,2.51,RU,1706755456
450,eastham,41.8301,-69.9739,1.0100000000000477,76,100,0.45,US,1706755457
451,tozkhurmato,34.8905,44.6299,8.060000000000002,73,52,1.73,IQ,1706755457
452,kimbe,-5.5502,150.1429,30.350000000000023,70,57,3.17,PG,1706755457
453,ketchikan,55.3422,-131.6461,10.260000000000048,87,100,6.69,US,1706755458
454,elliot lake,46.3834,-82.6331,0.18999999999999773,95,100,3.81,CA,1706755458
455,san patricio,28.017,-97.5169,16.920000000000016,77,100,2.85,US,1706755458
456,souillac,-20.5167,57.5167,26.210000000000036,94,40,3.09,MU,1706755458
457,ilhabela,-23.7781,-45.3581,24.08000000000004,91,100,1.21,BR,1706755459
458,priob'ye,62.5206,65.5964,-25.539999999999964,100,100,3.13,RU,1706755459
